porto,ano,mes,calado_maximo,dwt_medio
Santos,2021,2,13.3,65400
Santos,2021,3,13.2,65100
Santos,2021,4,13.4,65900
Santos,2021,5,13.5,66300
Santos,2021,6,13.4,66000
Santos,2021,7,13.6,66800
Santos,2021,8,13.7,67200
Santos,2021,9,13.5,66500
Santos,2021,10,13.8,67900
Santos,2021,11,13.9,68300
Santos,2021,12,13.8,68000
Santos,2022,1,13.7,67500
Santos,2022,2,13.9,68400
Santos,2022,3,13.8,68100
Santos,2022,4,14.0,68900
Santos,2022,5,14.1,69400
Santos,2022,6,14.0,69000
Santos,2022,7,14.2,69900
Santos,2022,8,14.3,70400
Santos,2022,9,14.1,69600
Santos,2022,10,14.4,70900
Santos,2022,11,14.5,71400
Santos,2022,12,14.4,71000
Santos,2023,1,14.3,70500
Santos,2023,2,14.5,71500
Santos,2023,3,14.4,71100
Santos,2023,4,14.6,72000
Santos,2023,5,14.7,72500
Santos,2023,6,14.6,72100
Santos,2023,7,14.8,73100
Santos,2023,8,14.9,73600
Santos,2023,9,14.7,72800
Santos,2023,10,15.0,74200
Santos,2023,11,15.1,74700
Santos,2023,12,15.0,74300
Santos,2024,1,14.9,73800
Santos,2024,2,15.1,74900
Santos,2024,3,15.0,74400
Santos,2024,4,15.2,75400
Santos,2024,5,15.3,76000
Santos,2024,6,15.2,75500
Santos,2024,7,15.5,76700
Santos,2024,8,15.6,77300
Santos,2024,9,15.4,76400
Santos,2024,10,15.8,78100
Santos,2024,11,15.9,78700
Santos,2024,12,15.7,78100
Santos,2025,1,15.6,77600
Santos,2025,2,15.9,79100
Santos,2025,3,15.8,78500
Santos,2025,4,16.0,79700
Santos,2025,5,16.2,80400
Santos,2025,6,16.0,79800
Santos,2025,7,16.3,81200
Santos,2025,8,16.4,81900
Santos,2025,9,16.1,80800
Santos,2025,10,16.6,82800
Santos,2025,11,16.7,83500
Santos,2025,12,16.5,82900
Itajaí,2021,1,11.2,38500
Itajaí,2021,2,11.3,38900
Itajaí,2021,3,11.2,38600
Itajaí,2021,4,11.4,39200
Itajaí,2021,5,11.5,39500
Itajaí,2021,6,11.4,39100
Itajaí,2021,7,11.5,39700
Itajaí,2021,8,11.6,40100
Itajaí,2021,9,11.4,39400
Itajaí,2021,10,11.7,40500
Itajaí,2021,11,11.8,40900
Itajaí,2021,12,11.7,40600
Itajaí,2022,1,11.6,40100
Itajaí,2022,2,11.8,41000
Itajaí,2022,3,11.7,40600
Itajaí,2022,4,11.9,41400
Itajaí,2022,5,12.0,41800
Itajaí,2022,6,11.9,41300
Itajaí,2022,7,12.1,42100
Itajaí,2022,8,12.2,42500
Itajaí,2022,9,12.0,41700
Itajaí,2022,10,12.3,42900
Itajaí,2022,11,12.4,43300
Itajaí,2022,12,12.2,42900
Itajaí,2023,1,12.1,42400
Itajaí,2023,2,12.4,43500
Itajaí,2023,3,12.2,43000
Itajaí,2023,4,12.5,43900
Itajaí,2023,5,12.6,44400
Itajaí,2023,6,12.4,43800
Itajaí,2023,7,12.6,44700
Itajaí,2023,8,12.7,45100
Itajaí,2023,9,12.5,44300
Itajaí,2023,10,12.8,45600
Itajaí,2023,11,12.9,46000
Itajaí,2023,12,12.7,45500
Itajaí,2024,1,12.6,45000
Itajaí,2024,2,12.9,46200
Itajaí,2024,3,12.7,45600
Itajaí,2024,4,13.0,46600
Itajaí,2024,5,13.1,47100
Itajaí,2024,6,12.9,46400
Itajaí,2024,7,13.1,47400
Itajaí,2024,8,13.2,47900
Itajaí,2024,9,13.0,47000
Itajaí,2024,10,13.4,48600
Itajaí,2024,11,13.5,49100
Itajaí,2024,12,13.3,48500
Itajaí,2025,1,13.1,47900
Itajaí,2025,2,13.5,49600
Itajaí,2025,3,13.3,48900
Itajaí,2025,4,13.6,50100
Itajaí,2025,5,13.7,50800
Itajaí,2025,6,13.4,49900
Itajaí,2025,7,13.7,51300
Itajaí,2025,8,13.8,51900
Itajaí,2025,9,13.5,50800
Itajaí,2025,10,14.0,52600
Itajaí,2025,11,14.1,53200
Itajaí,2025,12,13.9,52400
