Poupança
Sigla;Código;Município;2020;2021;2022;2023;2024;
MG;3101102;Aimorés;72076,3641533627;121268,95811681;103981,266913525;70867,2155885224;59165,4281725087;
MG;3101201;Aiuruoca;28043,9849389052;25180,2585674935;24407,782548611;25433,0236838254;25358,3975792494;
MG;3101300;Alagoa;;;;;;
MG;3101409;Albertina;;;;;;
MG;3101508;Além Paraíba;127920,922761712;113389,884328843;95812,2466696832;86673,9940598833;86820,4408287524;
MG;3101607;Alfenas;275538,360672563;248384,884862384;218083,929764584;205825,841227045;206320,125080892;
MG;3101631;Alfredo Vasconcelos;;;;;;
MG;3101706;Almenara;74303,1775000209;63972,2279844096;61735,3480525661;58804,9709141603;65267,7710219472;
MG;3101805;Alpercata;;;;;;
MG;3101904;Alpinópolis;46815,3855994052;43932,6065213446;39623,2689674888;36787,1375373332;30256,0870579615;
MG;3102001;Alterosa;27315,5274121468;23665,1534035745;18924,8728264729;15391,0053649047;18814,7693134155;
MG;3102050;Alto Caparaó;;;;;;
MG;3102100;Alto Rio Doce;51013,5185086853;47410,9864162842;41863,6455930886;38000,2554402841;37494,7884031436;
MG;3102209;Alvarenga;;;;;;
MG;3102308;Alvinópolis;44149,5372832657;47239,3874399998;45598,6991626178;41046,8513789066;44104,0408826825;
MG;3102407;Alvorada de Minas;;;;;;
MG;3102506;Amparo do Serra;;;;;;
MG;3102605;Andradas;153769,194586052;136686,879747856;112774,900559839;102432,690205234;110012,022195954;
MG;3102704;Cachoeira de Pajeú;5328,4258677202;4704,0585094185;4585,7854672626;4394,7205086516;4723,91136130389;
MG;3102803;Andrelândia;87481,8103465576;84404,1454596728;80230,2828999552;77245,4015518371;80129,9616438828;
MG;3102852;Angelândia;;;;;;
MG;3102902;Antônio Carlos;17981,8049556254;;;;;
MG;3103009;Antônio Dias;8021,6413748925;7459,222389387;6791,5779515682;6613,11473629006;6732,24864238015;
MG;3103108;Antônio Prado de Minas;;;;;;
MG;3103207;Araçaí;;;;;;
MG;3103306;Aracitaba;;;;;;
MG;3103405;Araçuaí;145117,333662578;130261,024855771;127570,57751559;131526,872278577;135386,179827966;
MG;3103504;Araguari;304757,866204067;288030,485194078;267741,328156683;236727,608022231;244300,709921731;
MG;3103603;Arantina;;;;;;
MG;3103702;Araponga;;;;;;
MG;3103751;Araporã;5646,5860864334;5152,3318338424;4996,0605880319;4429,44527011421;4753,46195261327;
MG;3103801;Arapuá;;;;;;
MG;3103900;Araújos;11579,749302183;10674,9020102458;9261,4184710642;8676,40257621565;8690,9659822775;
MG;3104007;Araxá;301702,716165351;274650,389588289;245444,38057537;223511,878159616;222778,567585287;
MG;3104106;Arceburgo;11681,4437998605;11319,4221234248;10274,3488232474;9801,14876195791;8566,27997623817;
MG;3104205;Arcos;120192,601103868;121059,083111737;111980,442327485;102787,460904882;110825,431567506;
MG;3104304;Areado;54681,8070848102;53553,6397244844;46979,825068691;30952,0978694355;30253,3061038873;
MG;3104403;Argirita;;;;;;
MG;3104452;Aricanduva;;;;;;
MG;3104502;Arinos;13167,6959966687;13357,8853797243;10080,814055658;9878,81234890977;11177,3792053196;
MG;3104601;Astolfo Dutra;21666,125449675;20375,2764004419;17611,669101064;16243,1174026324;16740,9850749138;
MG;3104700;Ataléia;13184,0899256433;7430,8464199823;7350,3054649342;6572,05668205628;7279,11971594002;
MG;3104809;Augusto de Lima;;;;;;
MG;3104908;Baependi;59315,0023408547;57015,1682932292;54627,8084445562;50062,6145963748;52195,3961397017;
MG;3105004;Baldim;;;;;;
MG;3105103;Bambuí;83276,6905184717;76323,1817164443;70063,5271897381;66581,6738512515;67390,1983225763;
MG;3105202;Bandeira;;;;;;
MG;3105301;Bandeira do Sul;;;;;;
MG;3105400;Barão de Cocais;110340,13317192;102133,022659161;91974,3831283586;88123,2100848945;98246,0260937343;
MG;3105509;Barão de Monte Alto;;;;;;
MG;3105608;Barbacena;637249,401052883;598434,830752282;529140,585566538;478773,219428328;486174,190522637;
MG;3105707;Barra Longa;;;;;;
MG;3105905;Barroso;49028,1195658714;46472,588138142;44300,444722479;41251,1603781161;39920,7139055583;
MG;3106002;Bela Vista de Minas;5623,8253013111;5565,4517984764;6006,9668996596;6197,35798436656;6649,55267944372;
MG;3106101;Belmiro Braga;;;;;;
MG;3106200;Belo Horizonte;13502191,5655859;12342132,1347859;10537006,7188569;9450282,70698166;9460947,56534876;
MG;3106309;Belo Oriente;69620,2458307937;81421,0329019006;75211,5802724278;57860,0469036078;55763,8801686146;
MG;3106408;Belo Vale;;;;;;
MG;3106507;Berilo;45297,1909407147;42508,3501316936;42578,8135899337;43988,7864857948;47916,6265036298;
MG;3106606;Bertópolis;;;;;;
MG;3106655;Berizal;;;;;;
MG;3106705;Betim;832590,316089026;757664,458884393;685526,280376706;645599,674106047;652274,747610708;
MG;3106804;Bias Fortes;;;;;;
MG;3106903;Bicas;91411,2228756569;88195,156115789;90675,9309220436;90033,4194991566;95183,392096273;
MG;3107000;Biquinhas;;;;;;
MG;3107109;Boa Esperança;131199,217255935;121950,908565535;105006,097364071;94287,1516704109;103865,995521186;
MG;3107208;Bocaina de Minas;;;;;;
MG;3107307;Bocaiúva;90158,6266476263;80124,9826602935;77049,7665635499;75805,057860792;76892,6317353884;
MG;3107406;Bom Despacho;120972,515387866;112704,599906253;91324,2180733999;81556,0066104039;85841,0014087208;
MG;3107505;Bom Jardim de Minas;;;;;;
MG;3107604;Bom Jesus da Penha;6619,1245503236;5881,5051299531;3930,6346919992;2916,87015013907;3573,36054611379;
MG;3107703;Bom Jesus do Amparo;;;;;;
MG;3107802;Bom Jesus do Galho;14963,6570900845;14292,35177651;15168,3843786875;13851,9170943137;14344,4289685005;
MG;3107901;Bom Repouso;;;;;;
MG;3108008;Bom Sucesso;55173,6497565566;50696,7609780786;48316,2212536167;45605,5546978703;51633,3361725016;
MG;3108107;Bonfim;32283,4578214041;27578,4314039264;26701,8693174079;25643,4860759469;25468,34374089;
MG;3108206;Bonfinópolis de Minas;11412,2273695531;10390,4652878267;9180,2341431285;8310,22459003989;9147,65299984854;
MG;3108255;Bonito de Minas;;;;;;
MG;3108305;Borda da Mata;76596,2430905165;70970,2353369813;63402,8599459525;60139,5825515821;67251,6626925641;
MG;3108404;Botelhos;31475,4913750285;29032,122656202;24358,3729446747;21323,6325291629;25140,2384284792;
MG;3108503;Botumirim;;;;;;
MG;3108552;Brasilândia de Minas;21395,3422397653;21881,8279812771;17499,2565313284;16090,6072969787;15678,778789434;
MG;3108602;Brasília de Minas;47692,429136776;46781,3599797319;45259,8290073856;44940,2114230782;49968,9390981395;
MG;3108701;Brás Pires;;;;;;
MG;3108800;Braúnas;;;;;;
MG;3108909;Brasópolis;33801,0614416458;33264,4781112621;30778,3079978789;28277,7270054384;28521,1734965798;
MG;3109006;Brumadinho;264154,175966556;239453,157507181;213784,654544799;166435,949324217;165636,027464889;
MG;3109105;Bueno Brandão;34140,9101328668;32868,4714719059;27566,009499366;25221,8989331314;15483,5408451193;
MG;3109204;Buenópolis;15623,2676086725;14162,6555975146;12843,217255187;12449,6140462273;14053,066913319;
MG;3109253;Bugre;;;;;;
MG;3109303;Buritis;31196,1328304816;28967,5131137899;27109,3774618536;42768,5748043043;42160,2485215203;
MG;3109402;Buritizeiro;7426,9263502741;7696,742324832;8114,2503889661;7601,59495593957;7619,43207746677;
MG;3109451;Cabeceira Grande;;;;;;
MG;3109501;Cabo Verde;11706,3407668049;10831,601150793;8713,3230773476;7601,17791535684;8544,88317378648;
MG;3109600;Cachoeira da Prata;5525,7303333296;5496,9222191509;5464,3840193366;5487,68983744256;5154,57321801368;
MG;3109709;Cachoeira de Minas;28532,9959032262;26301,678129141;24692,4214555226;22219,7382597361;22859,4070384186;
MG;3109808;Cachoeira Dourada;;;;;;
MG;3109907;Caetanópolis;;;;;;
MG;3110004;Caeté;119519,548682273;107031,299241108;98862,3147736339;92642,2127758348;92890,8381575939;
MG;3110103;Caiana;;;;;;
MG;3110202;Cajuri;;;;;;
MG;3110301;Caldas;45940,8217849552;40553,0812967042;34699,2482094225;33065,2752112293;34352,6136045213;
MG;3110400;Camacho;;;;;;
MG;3110509;Camanducaia;67890,5607282958;67428,16502842;59409,3933646471;54544,0018622055;56198,2368339952;
MG;3110608;Cambuí;160036,228561283;149065,554688477;133955,053355924;125002,558565977;126190,360388431;
MG;3110707;Cambuquira;26222,9062945524;24107,5139819651;20396,3411220613;18885,2371282311;19316,5345723814;
MG;3110806;Campanário;4339,2364786726;3761,356434404;3915,704220768;3364,01942749644;3199,18750836554;
MG;3110905;Campanha;41325,8384288284;37756,260510087;31866,8270328045;28286,4889463091;27756,036918482;
MG;3111002;Campestre;95007,0205860317;92333,9868999788;70554,4860975015;68342,6481550244;84166,3234701468;
MG;3111101;Campina Verde;39089,6407636562;39546,2733050014;34619,0500871531;29394,1487340586;29275,186258381;
MG;3111150;Campo Azul;;;;;;
MG;3111200;Campo Belo;225514,5745695;205179,716189336;179581,627048527;162475,126832838;163228,769018221;
MG;3111309;Campo do Meio;;;;;;
MG;3111408;Campo Florido;7119,1056104253;7225,8783308281;7500,0656520014;6704,90863945701;6432,19315144549;
MG;3111507;Campos Altos;26686,940079568;23214,6163691709;19974,3164152399;18343,2192955674;17038,811075755;
MG;3111606;Campos Gerais;60438,722635116;54362,99658445;46252,2008654961;46097,4581538418;54165,3436496635;
MG;3111705;Canaã;;;;;;
MG;3111804;Canápolis;7829,4799992138;6784,2132581408;5770,6910110794;5268,79668373676;5835,37913637514;
MG;3111903;Cana Verde;;;;;;
MG;3112000;Candeias;36013,0982993701;34162,7071448185;28510,0148388588;27093,8305637113;33561,75910978;
MG;3112059;Cantagalo;;;;;;
MG;3112109;Caparaó;;;;;;
MG;3112208;Capela Nova;;;;;;
MG;3112307;Capelinha;113597,939740485;102463,788684173;98995,9749563085;96281,9140185064;107846,817046535;
MG;3112406;Capetinga;5284,1190925733;4695,1898641463;;;;
MG;3112505;Capim Branco;;;;;;
MG;3112604;Capinópolis;20959,4825188078;20656,1270992451;22144,3596004476;18287,1723121541;19173,0712177988;
MG;3112653;Capitão Andrade;;;;;;
MG;3112703;Capitão Enéas;;;;;;
MG;3112802;Capitólio;;;;;;
MG;3112901;Caputira;;;;;;
MG;3113008;Caraí;;;;;;
MG;3113107;Caranaíba;;;;;;
MG;3113206;Carandaí;115095,555179185;108752,878633575;103930,180234913;97325,7011789665;102215,148704636;
MG;3113305;Carangola;117690,494712851;107772,131259525;88776,030208018;80595,1778168431;86280,4394207808;
MG;3113404;Caratinga;266494,881894592;242132,586596151;224134,836195758;204564,743213914;221207,643655656;
MG;3113503;Carbonita;19912,7523704883;18911,0350657408;17538,5389319147;16641,9880995882;17164,5448633577;
MG;3113602;Careaçu;9739,2550447858;9152,5546799915;;;;
MG;3113701;Carlos Chagas;27216,6567062011;21467,3643830092;18384,0707168073;18070,9040609397;19450,4536610693;
MG;3113800;Carmésia;;;;;;
MG;3113909;Carmo da Cachoeira;11889,8349858018;10329,6616018958;8839,3657619524;8698,12957284962;9048,72036170853;
MG;3114006;Carmo da Mata;27006,6248608514;26377,5119396841;24017,5229400016;22442,4174877519;23388,906996586;
MG;3114105;Carmo de Minas;;;;;;
MG;3114204;Carmo do Cajuru;13258,3364922142;12610,917939742;11240,5949819179;10380,6102971383;13329,656463419;
MG;3114303;Carmo do Paranaíba;122210,956245047;111083,642848784;93092,8668017283;79351,7018126489;85016,6809284071;
MG;3114402;Carmo do Rio Claro;42995,5510710078;45607,1535250725;33767,2864800314;31385,2762872712;31388,4277447027;
MG;3114501;Carmópolis de Minas;45537,0348709664;44410,2483795113;39552,5894362883;35584,3556990212;39160,922589045;
MG;3114550;Carneirinho;9180,3912515056;8640,9150059112;7696,5235961907;7073,96093474712;7972,0026954791;
MG;3114600;Carrancas;;;;;;
MG;3114709;Carvalhópolis;;;;;;
MG;3114808;Carvalhos;;;;;;
MG;3114907;Casa Grande;;;;;;
MG;3115003;Cascalho Rico;;;;;;
MG;3115102;Cássia;53648,5863867499;50369,4502140301;41897,1774608127;38503,333130693;41229,2591512229;
MG;3115201;Conceição da Barra de Minas;;;;;;
MG;3115300;Cataguases;261371,676185993;230794,548324499;198382,962520317;181384,809898757;178882,586184471;
MG;3115359;Catas Altas;;;;;;
MG;3115409;Catas Altas da Noruega;;;;;;
MG;3115458;Catuji;;;;;;
MG;3115474;Catuti;;;;;;
MG;3115508;Caxambu;86975,1737713516;78904,874724329;69984,6158602214;67069,4069013956;66566,980770224;
MG;3115607;Cedro do Abaeté;;;;;;
MG;3115706;Central de Minas;;;;;;
MG;3115805;Centralina;12041,8395205851;11768,5771481987;10145,2429505905;9841,65076208137;11703,0149765936;
MG;3115904;Chácara;;;;;;
MG;3116001;Chalé;;;;;;
MG;3116100;Chapada do Norte;13851,1443624093;12381,7544958464;12606,5099563198;12995,5079031306;13592,5629771957;
MG;3116159;Chapada Gaúcha;397,5192678665;;;;;
MG;3116209;Chiador;;;;;;
MG;3116308;Cipotânea;;;;;;
MG;3116407;Claraval;;;;;;
MG;3116506;Claro dos Poções;;;;;;
MG;3116605;Cláudio;47918,9910610287;38992,659766973;32679,464877152;30235,1519554794;31396,1246062621;
MG;3116704;Coimbra;24017,4674312261;22891,0200225024;20215,7175980412;19137,1868810686;19509,2475994702;
MG;3116803;Coluna;15056,5957753128;14196,1706339243;12750,0641357694;12457,0717131186;12683,5415684728;
MG;3116902;Comendador Gomes;;;;;;
MG;3117009;Comercinho;;;;;;
MG;3117108;Conceição da Aparecida;17032,2890224561;15581,8946810364;11402,6407363776;10206,3118653533;12879,2403791143;
MG;3117207;Conceição das Pedras;;;;;;
MG;3117306;Conceição das Alagoas;59219,7681045081;55223,8720344523;53212,1447759822;47554,8105588495;44572,9428274263;
MG;3117405;Conceição de Ipanema;;;;;;
MG;3117504;Conceição do Mato Dentro;75711,8189605159;69145,0957138299;66800,8586962341;66003,6228945126;70969,3965088287;
MG;3117603;Conceição do Pará;4619,3544020837;4410,3783835452;4401,0092910783;4186,74809412708;3922,707463256;
MG;3117702;Conceição do Rio Verde;31073,7831221559;28199,842534692;26597,3599566117;26229,2849925316;28635,8149801133;
MG;3117801;Conceição dos Ouros;22530,8331702778;22531,8135943151;21208,9207741489;19911,5167614827;20504,974902075;
MG;3117836;Cônego Marinho;;;;;;
MG;3117876;Confins;;;;;;
MG;3117900;Congonhal;30466,9343948105;27838,6126018327;26058,7862167146;25532,8640170593;26949,7611274229;
MG;3118007;Congonhas;226770,207785275;205942,653255163;193526,393154407;179354,272010476;187881,651153745;
MG;3118106;Congonhas do Norte;;;;;;
MG;3118205;Conquista;35547,6148870161;31570,5559673875;30396,0710454791;26331,5948601966;26233,5118312153;
MG;3118304;Conselheiro Lafaiete;559069,602894641;511682,091873976;449324,256588258;420764,100959557;422241,001724301;
MG;3118403;Conselheiro Pena;75998,0055822856;76129,6401985105;76728,4096533058;59640,7693055633;63015,0800510168;
MG;3118502;Consolação;;;;;;
MG;3118601;Contagem;1720117,80534037;1570421,39039331;1384057,37835162;1271666,72099729;1283526,90047093;
MG;3118700;Coqueiral;9143,2080728059;8131,4220187121;6893,9306984651;6958,35892066569;8915,74270081633;
MG;3118809;Coração de Jesus;14736,0054386917;13828,227270673;12963,5006562137;12753,29727449;13961,7287219991;
MG;3118908;Cordisburgo;;;;;;
MG;3119005;Cordislândia;;;;;;
MG;3119104;Corinto;58545,4264802957;54309,2559768735;49505,0466805585;48228,8626222811;49497,2010529234;
MG;3119203;Coroaci;36838,2412729521;35450,4676975358;33641,1344114796;32810,5574537398;36416,7314672467;
MG;3119302;Coromandel;102870,494794886;96688,759886814;87275,9746366462;81328,9239244705;83583,58360367;
MG;3119401;Coronel Fabriciano;247942,425622623;220292,012810455;204106,65606226;192293,569384867;197198,556327331;
MG;3119500;Coronel Murta;;;;;;
MG;3119609;Coronel Pacheco;;;;;;
MG;3119708;Coronel Xavier Chaves;;;;;;
MG;3119807;Córrego Danta;;;;;;
MG;3119906;Córrego do Bom Jesus;;;;;;
MG;3119955;Córrego Fundo;;;;;;
MG;3120003;Córrego Novo;;;;;;
MG;3120102;Couto de Magalhães de Minas;;;;;;
MG;3120151;Crisólita;;;;;;
MG;3120201;Cristais;26876,5066909138;25388,3336909816;21987,3529456588;21594,9378713991;26737,1757018863;
MG;3120300;Cristália;;;;;;
MG;3120409;Cristiano Otoni;;;;;;
MG;3120508;Cristina;14259,8690860103;13464,7184669467;12652,2175699535;11355,6102932459;12442,3942477637;
MG;3120607;Crucilândia;;;;;;
MG;3120706;Cruzeiro da Fortaleza;4974,1188984444;5486,041439872;5585,0756412536;6192,51704270028;6282,56127833574;
MG;3120805;Cruzília;37906,1443182754;35693,9226465672;31986,0257826127;29693,142300082;30797,2110890366;
MG;3120839;Cuparaque;;;;;;
MG;3120870;Curral de Dentro;;;;;;
MG;3120904;Curvelo;199142,495975303;184492,122194795;174124,461932157;162934,811859476;170787,607021293;
MG;3121001;Datas;4380,8878025029;4444,7580643068;4761,8249288313;3962,81365572996;3693,45246329093;
MG;3121100;Delfim Moreira;9528,7820314511;8788,9876016047;8089,3861052032;7759,8700343546;7438,29979397298;
MG;3121209;Delfinópolis;;;;;;
MG;3121258;Delta;;;;;;
MG;3121308;Descoberto;;;;;;
MG;3121407;Desterro de Entre Rios;26969,9651733493;26342,9323247217;24846,1242775759;22457,5536077253;21149,5141856476;
MG;3121506;Desterro do Melo;;;;;;
MG;3121605;Diamantina;186393,545442507;165049,55684466;150387,192477863;142097,706233674;147949,632236582;
MG;3121704;Diogo de Vasconcelos;;;;;;
MG;3121803;Dionísio;;;;;;
MG;3121902;Divinésia;;;;;;
MG;3122009;Divino;35448,7135737222;32947,1958003616;30017,019791152;28266,6018345989;38761,7335695202;
MG;3122108;Divino das Laranjeiras;;;;;;
MG;3122207;Divinolândia de Minas;;;;;;
MG;3122306;Divinópolis;844932,871222964;774975,274617555;677788,132688391;612895,106289819;623172,023834238;
MG;3122355;Divisa Alegre;;;;;;
MG;3122405;Divisa Nova;;;;;;
MG;3122454;Divisópolis;5413,7707643067;4942,5657976466;4982,5337316087;5319,83509152408;5899,92405628922;
MG;3122470;Dom Bosco;;;;;;
MG;3122504;Dom Cavati;10778,3502428572;10620,7885395982;10102,3994462253;8848,43181659467;9165,00835912728;
MG;3122603;Dom Joaquim;;;;;;
MG;3122702;Dom Silvério;20623,8898321312;23617,6382353312;23275,8026463234;19243,36868434;19073,7564939007;
MG;3122801;Dom Viçoso;;;;;;
MG;3122900;Dona Eusébia;4349,0783242716;4118,2825703911;3982,9250315641;3943,17676836947;4104,03433475441;
MG;3123007;Dores de Campos;;;;;;
MG;3123106;Dores de Guanhães;;;;;;
MG;3123205;Dores do Indaiá;43179,4342144124;38647,6027106034;36377,2863387976;32948,1195165455;30216,5510295727;
MG;3123304;Dores do Turvo;;;;;;
MG;3123403;Doresópolis;;;;;;
MG;3123502;Douradoquara;;;;;;
MG;3123528;Durandé;;;;;;
MG;3123601;Elói Mendes;66056,0565400351;57964,4587213157;50361,3387830865;43519,5340575524;48176,5235996832;
MG;3123700;Engenheiro Caldas;12412,0945014344;11202,1441324325;9478,9748284887;;;
MG;3123809;Engenheiro Navarro;;;;;;
MG;3123858;Entre Folhas;7244,9593324121;7090,9720181686;7341,6881975887;7337,07674475571;7265,92790971567;
MG;3123908;Entre Rios de Minas;51941,7718336576;46961,4272591092;42790,8723101815;40844,2800487918;39187,8891777019;
MG;3124005;Ervália;61606,0357089695;57673,1337445235;51102,9356916725;53613,5924993856;67052,1902926832;
MG;3124104;Esmeraldas;62094,5305700736;58669,8720644161;56479,7587364985;52554,0641012437;48854,1152708428;
MG;3124203;Espera Feliz;42156,7725237833;33791,5430405789;33262,8370313153;30798,6228463551;43220,7137564324;
MG;3124302;Espinosa;77228,6621464676;65993,6101323167;64165,5679563117;63819,7612625781;68741,7183684521;
MG;3124401;Espírito Santo do Dourado;;;;;;
MG;3124500;Estiva;51110,8387941285;47106,9978346263;44130,3837499181;25572,1966680978;30759,9478800541;
MG;3124609;Estrela Dalva;;;;;;
MG;3124708;Estrela do Indaiá;;;;;;
MG;3124807;Estrela do Sul;11540,5972266506;12434,5660253001;10554,4382330348;9711,21927551378;9587,7055003442;
MG;3124906;Eugenópolis;13083,4724899962;13127,8752950305;11879,7170711222;12260,9481575036;13152,2820130509;
MG;3125002;Ewbank da Câmara;;;;;;
MG;3125101;Extrema;121915,989008322;114463,182286757;103686,82939264;99922,3512151475;98310,3110377717;
MG;3125200;Fama;;;;;;
MG;3125309;Faria Lemos;;;;;;
MG;3125408;Felício dos Santos;;;;;;
MG;3125507;São Gonçalo do Rio Preto;;;;;;
MG;3125606;Felisburgo;2209,7761356575;1781,8192829032;1762,6873032163;1405,61279663273;;
MG;3125705;Felixlândia;;;;;;
MG;3125804;Fernandes Tourinho;;;;;;
MG;3125903;Ferros;22199,7914796574;;;;;
MG;3125952;Fervedouro;;;;;;
MG;3126000;Florestal;;;;;;
MG;3126109;Formiga;259892,499563758;234019,647120348;203866,518045278;188001,567607196;194219,114610389;
MG;3126208;Formoso;;;;;;
MG;3126307;Fortaleza de Minas;7023,7763857566;6546,0594080971;6302,9764866308;;;
MG;3126406;Fortuna de Minas;;;;;;
MG;3126505;Francisco Badaró;;;;;;
MG;3126604;Francisco Dumont;;;;;;
MG;3126703;Francisco Sá;30985,7590271722;27293,1584638191;26616,23087515;25691,3885020973;26942,1745586597;
MG;3126752;Franciscópolis;;;;;;
MG;3126802;Frei Gaspar;;;;;;
MG;3126901;Frei Inocêncio;;;;;;
MG;3126950;Frei Lagonegro;;;;;;
MG;3127008;Fronteira;12818,5716957911;10558,3943818376;10934,6073913004;10818,2943887208;12586,6729812321;
MG;3127057;Fronteira dos Vales;;;;;;
MG;3127073;Fruta de Leite;;;;;;
MG;3127107;Frutal;132931,880770045;124484,91679275;110551,410627979;102729,361427621;105272,977087408;
MG;3127206;Funilândia;;;;;;
MG;3127305;Galiléia;;;;;;
MG;3127339;Gameleiras;;;;;;
MG;3127354;Glaucilândia;;;;;;
MG;3127370;Goiabeira;;;;;;
MG;3127388;Goianá;;;;;;
MG;3127404;Gonçalves;;;;;;
MG;3127503;Gonzaga;;;;;;
MG;3127602;Gouveia;19257,0126260273;18264,1422737049;19317,164351282;18454,3606108669;17381,0181099584;
MG;3127701;Governador Valadares;904601,133022986;930074,33986059;837251,510236236;732059,546447127;720473,510299863;
MG;3127800;Grão Mogol;13329,5972591927;12144,0223079797;11558,391225919;11253,353577812;12050,9099678551;
MG;3127909;Grupiara;;;;;;
MG;3128006;Guanhães;218165,914374962;200664,717734331;186889,275399341;171959,570069905;200925,23173814;
MG;3128105;Guapé;15617,682295331;13959,4158495085;13176,3456282726;;;
MG;3128204;Guaraciaba;16930,709038478;16272,8578034625;15912,0293922974;15800,1426197356;16736,8766682575;
MG;3128253;Guaraciama;;;;;;
MG;3128303;Guaranésia;35410,0206084135;31380,2271362206;27741,9373893087;25829,396225918;27483,2749555642;
MG;3128402;Guarani;5498,4860994027;15877,007984534;14571,0263930594;13432,0839751256;18524,3959543708;
MG;3128501;Guarará;;;;;;
MG;3128600;Guarda-Mor;5460,6981617187;5188,860096596;5218,4455904133;4098,39273145113;4409,23813585188;
MG;3128709;Guaxupé;181375,334020354;164760,360077418;146019,246016144;131900,041827463;133162,913399435;
MG;3128808;Guidoval;;;;;;
MG;3128907;Guimarânia;14210,92265904;12569,2250259861;10735,7600641726;11025,7271036677;11828,7448251678;
MG;3129004;Guiricema;;;;;;
MG;3129103;Gurinhatã;3737,9656766882;3779,9872697415;3381,5386539354;2752,79534558079;2424,50075583026;
MG;3129202;Heliodora;8376,7267206969;7772,9816891094;6319,100117956;6243,20382803548;8103,63714767542;
MG;3129301;Iapu;18682,5443622719;18436,0113032937;17777,4654122988;16827,31766365;16277,7356359723;
MG;3129400;Ibertioga;;;;;;
MG;3129509;Ibiá;69344,379162511;62097,908338082;56528,7478685426;52577,2875376157;53349,6890319038;
MG;3129608;Ibiaí;;;;;;
MG;3129657;Ibiracatu;;;;;;
MG;3129707;Ibiraci;19778,9945646742;16601,3923353799;14564,9704602171;12864,8924280706;15652,7339334306;
MG;3129806;Ibirité;188644,017741645;167526,645889528;153286,915846934;140954,279083005;145752,678517988;
MG;3129905;Ibitiúra de Minas;;;;;;
MG;3130002;Ibituruna;;;;;;
MG;3130051;Icaraí de Minas;;;;;;
MG;3130101;Igarapé;72752,1590989038;67174,082297416;63192,6209370472;48570,6314684672;50422,2031000017;
MG;3130200;Igaratinga;9637,3141051836;8586,9853610217;6637,3102708125;;;
MG;3130309;Iguatama;4838,8581662889;4295,3972669735;4215,5470587783;4023,65456152817;;
MG;3130408;Ijaci;;;;;;
MG;3130507;Ilicínea;;;;;;
MG;3130556;Imbé de Minas;;;;;;
MG;3130606;Inconfidentes;;;;;;
MG;3130655;Indaiabira;;;;;;
MG;3130705;Indianópolis;5730,5219895749;5847,0941798615;5692,0881442932;4793,63209193906;4680,14087734897;
MG;3130804;Ingaí;;;;;;
MG;3130903;Inhapim;121518,858664863;113186,703803053;107297,584732751;99482,9458090029;110027,305626276;
MG;3131000;Inhaúma;7065,0324526243;6805,5763696301;;;;
MG;3131109;Inimutaba;;;;;;
MG;3131158;Ipaba;;;;;;
MG;3131208;Ipanema;37932,6428938736;33532,3027652384;31182,9529081276;27483,0030228019;28228,7872940055;
MG;3131307;Ipatinga;885928,711777289;868335,268877846;764777,033969001;672663,154745781;669475,69697485;
MG;3131406;Ipiaçu;;;;;;
MG;3131505;Ipuiúna;21907,3509323009;19999,0490336335;17227,7209461971;16379,0767212378;15914,001811379;
MG;3131604;Iraí de Minas;10801,107861702;10270,1456438269;9051,9009586733;8551,2045400981;9260,14377385723;
MG;3131703;Itabira;411069,121936217;405037,192955031;327831,461577157;340424,258283811;355386,432488135;
MG;3131802;Itabirinha de Mantena;16796,4820958951;14849,4433168324;13813,7455766151;13931,1302732348;14713,0353712663;
MG;3131901;Itabirito;230936,42514603;211577,456637321;196018,750140627;190103,288598864;191420,63185969;
MG;3132008;Itacambira;;;;;;
MG;3132107;Itacarambi;11773,1560803075;9906,2578179189;9904,6735233223;9099,57610869881;10632,8597317346;
MG;3132206;Itaguara;50636,2496956721;48257,1761780819;45959,2251516791;41640,6026869955;39332,6918019519;
MG;3132305;Itaipé;6624,7494421327;6280,3198498973;6781,1252215918;6952,18917322108;8483,61946455764;
MG;3132404;Itajubá;400084,951524671;364792,22826532;316239,539796121;280954,23029918;274687,872089852;
MG;3132503;Itamarandiba;69097,6438294885;69797,3080821849;60251,6086282663;54874,1998765373;59995,4208537669;
MG;3132602;Itamarati de Minas;;;;;;
MG;3132701;Itambacuri;38911,1508460971;36945,2748022959;34286,6208962567;29470,1482473127;23277,2473575768;
MG;3132800;Itambé do Mato Dentro;;;;;;
MG;3132909;Itamogi;22247,1853752736;20193,6357052332;17051,1612545765;14730,7115520702;11633,3296245736;
MG;3133006;Itamonte;43404,7702615968;40502,1307661622;37915,5352841792;35774,5262047492;36142,8744544244;
MG;3133105;Itanhandu;51626,4776237084;58267,4092559737;50291,4083131551;43932,1180301405;44603,6278589246;
MG;3133204;Itanhomi;47931,069881614;47627,4635139833;39967,9124074442;33225,5087449299;33947,2009200713;
MG;3133303;Itaobim;23413,4530498707;21836,0719497342;22412,5252849393;20856,187276779;19434,2603151785;
MG;3133402;Itapagipe;20545,4917481702;17212,9896343079;16095,8425522123;15406,2600552399;8547,79017677053;
MG;3133501;Itapecerica;109577,609666567;102248,58178456;96775,2161228371;89752,3259691255;98342,5716806435;
MG;3133600;Itapeva;9783,6283117582;9431,0023781632;7674,2552122583;;;
